Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Eventual Nominee (D) vs Nick Begich (R),AK-AL,Eventual Nominee,Nick Begich,R+10.1,10.1,Likely R,8,N,92
Clyde Jones Jr. (D) vs Jerry Carl (R),AL-01,Clyde Jones Jr.,Jerry Carl,R+30.0,30,Safe R,0,N,100
Shomari Figures (D) vs Hampton Harris (R),AL-02,Shomari Figures,Hampton Harris,R+1.5,1.5,Tossup,41,Y,59
Lee McInnis (D) vs Mike Rogers (R),AL-03,Lee McInnis,Mike Rogers,R+43.2,43.2,Safe R,0,N,100
Amanda Pusczek (D) vs Robert Aderholt (R),AL-04,Amanda Pusczek,Robert Aderholt,R+62.5,62.5,Safe R,0,N,100
Andrew Sneed (D) vs Dale Strong (R),AL-05,Andrew Sneed,Dale Strong,R+25.0,25,Safe R,0,N,100
Keith Pilkington (D) vs Gary Palmer (R),AL-06,Keith Pilkington,Gary Palmer,R+29.0,29,Safe R,0,N,100
Terri Sewell (D),AL-07,Terri Sewell,Not Contested,D+100.0,-100,Safe D,100,N,0
Terri Green (D) vs Rick Crawford (R),AR-01,Terri Green,Rick Crawford,R+46.5,46.5,Safe R,0,N,100
Chris Jones (D) vs French Hill (R),AR-02,Chris Jones,French Hill,R+11.1,11.1,Likely R,6,N,94
Robb Ryerse (D) vs Steve Womack (R),AR-03,Robb Ryerse,Steve Womack,R+26.3,26.3,Safe R,0,N,100
James Russell (D) vs Bruce Westerman (R),AR-04,James Russell,Bruce Westerman,R+40.5,40.5,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),AZ-01,Eventual Nominee,Eventual Nominee,D+7.7,-7.7,Likely D,88,Y,12
Jonathan Nez (D) vs Eli Crane (R),AZ-02,Jonathan Nez,Eli Crane,R+0.9,0.9,Tossup,45,N,55
Yassamin Ansari (D) vs Eventual Nominee (R),AZ-03,Yassamin Ansari,Eventual Nominee,D+59.3,-59.3,Safe D,100,N,0
Greg Stanton (D) vs Zuhdi Jasser (R),AZ-04,Greg Stanton,Zuhdi Jasser,D+21.2,-21.2,Safe D,100,N,0
Eventual Nominee (D) vs Eventual Nominee (R),AZ-05,Eventual Nominee,Eventual Nominee,R+11.7,11.7,Safe R,5,N,95
JoAnna Mendoza (D) vs Juan Ciscomani (R),AZ-06,JoAnna Mendoza,Juan Ciscomani,D+7.9,-7.9,Likely D,87,Y,13
Adelita Grijalva (D) vs Daniel Butierez (R),AZ-07,Adelita Grijalva,Daniel Butierez,D+40.6,-40.6,Safe D,100,N,0
Eventual Nominee (D) vs Abraham Hamadeh (R),AZ-08,Eventual Nominee,Abraham Hamadeh,R+8.3,8.3,Likely R,11,N,89
Dani Sterbinsky (D) vs Paul Gosar (R),AZ-09,Dani Sterbinsky,Paul Gosar,R+20.5,20.5,Safe R,0,N,100
Mike McGuire (D) vs James Gallagher (R),CA-01,Mike McGuire,James Gallagher,D+21.5,-21.5,Safe D,100,Y,0
Jared Huffman (D) vs Robin Littau (R),CA-02,Jared Huffman,Robin Littau,D+35.2,-35.2,Safe D,100,N,0
Ami Bera (D) vs Robb Tucker (R),CA-03,Ami Bera,Robb Tucker,D+21.5,-21.5,Safe D,100,N,0
Mike Thompson (D) vs Eric Jones (D),CA-04,Mike Thompson/Eric Jones,Not Contested,D+100.0,-100,Safe D,100,N,0
Michael Masuda (D) vs Tom McClintock (R),CA-05,Michael Masuda,Tom McClintock,R+20.3,20.3,Safe R,0,N,100
Richard Pan (D) vs Kevin Kiley (Ind),CA-06,Richard Pan,Kevin Kiley (Ind),D+11.9,-11.9,Safe D,96,Y,4
Doris Matsui (D) vs Mai Vang (D),CA-07,Doris Matsui/Mai Vang,Not Contested,D+100.0,-100,Safe D,100,N,0
John Garamendi (D) vs Rudy Recile (R),CA-08,John Garamendi,Rudy Recile,D+46.5,-46.5,Safe D,100,N,0
Josh Harder (D) vs John McBride (R),CA-09,Josh Harder,John McBride,D+26.1,-26.1,Safe D,100,N,0
Mark DeSaulnier (D) vs Jeff Frese (R),CA-10,Mark DeSaulnier,Jeff Frese,D+43.8,-43.8,Safe D,100,N,0
Scott Weiner (D) vs Connie Chan (D),CA-11,Scott Weiner/Connie Chan,Not Contested,D+100.0,-100,Safe D,100,N,0
Lateefah Simon (D),CA-12,Lateefah Simon,Not Contested,D+100.0,-100,Safe D,100,N,0
Adam Gray (D) vs Kevin Lincoln (R),CA-13,Adam Gray,Kevin Lincoln,D+12.8,-12.8,Safe D,97,N,3
Aisha Wahab (D) vs Melissa Hernandez (D),CA-14,Aisha Wahab/Melissa Hernandez,Not Contested,D+100.0,-100,Safe D,100,N,0
Kevin Mullin (D) vs Charles Hoelter (R),CA-15,Kevin Mullin,Charles Hoelter,D+56.5,-56.5,Safe D,100,N,0
Sam Liccardo (D) vs Peter Soule (R),CA-16,Sam Liccardo,Peter Soule,D+61.4,-61.4,Safe D,100,N,0
Ro Khanna (D) vs Ritesh Tandon (R),CA-17,Ro Khanna,Ritesh Tandon,D+51.6,-51.6,Safe D,100,N,0
Zoe Lofgren (D) vs Shane Lewis (R),CA-18,Zoe Lofgren,Shane Lewis,D+39.5,-39.5,Safe D,100,N,0
Jimmy Panetta (D) vs Peter Coe Verbica (R),CA-19,Jimmy Panetta,Peter Coe Verbica,D+47.1,-47.1,Safe D,100,N,0
Sandra Van Scotter (D) vs Vince Fong (R),CA-20,Sandra Van Scotter,Vince Fong,R+30.7,30.7,Safe R,0,N,100
Jim Costa (D) vs Kyle Kirkland (R),CA-21,Jim Costa,Kyle Kirkland,D+15.2,-15.2,Safe D,98,N,2
Randy Villegas (D) vs David Valadao (R),CA-22,Randy Villegas,David Valadao,D+1.4,-1.4,Tossup,59,Y,41
Tessa Lynn Hodge (D) vs Jay Obernolte (R),CA-23,Tessa Lynn Hodge,Jay Obernolte,R+19.6,19.6,Safe R,0,N,100
Salud Carbajal (D) vs Bob Smith (R),CA-24,Salud Carbajal,Bob Smith,D+34.6,-34.6,Safe D,100,N,0
Raul Ruiz (D) vs Joe Males (R),CA-25,Raul Ruiz,Joe Males,D+20.1,-20.1,Safe D,100,N,0
Jacqui Irwin (D) vs Sam Gallucci (R),CA-26,Jacqui Irwin,Sam Gallucci,D+25.0,-25,Safe D,100,N,0
George Whitesides (D) vs Jason Gibbs (R),CA-27,George Whitesides,Jason Gibbs,D+20.4,-20.4,Safe D,100,N,0
Judy Chu (D) vs April A. Verlato (R),CA-28,Judy Chu,April A. Verlato,D+37.7,-37.7,Safe D,100,N,0
Luz Rivas (D) vs Angélica María Dueñas (D),CA-29,Luz Rivas/Angélica María Dueñas,Not Contested,D+100.0,-100,Safe D,100,N,0
Laura Friedman (D) vs Scott Alan Meyers (R),CA-30,Laura Friedman,Scott Alan Meyers,D+51.8,-51.8,Safe D,100,N,0
Gil Cisneros (D) vs Eric Ching (R),CA-31,Gil Cisneros,Eric Ching,D+21.0,-21,Safe D,100,N,0
Brad Sherman (D) vs Larry Thompson (R),CA-32,Brad Sherman,Larry Thompson,D+35.6,-35.6,Safe D,100,N,0
Pete Aguilar (D) vs Stephanie M. Vargas (R),CA-33,Pete Aguilar,Stephanie M. Vargas,D+23.8,-23.8,Safe D,100,N,0
Jimmy Gomez (D) vs Angela Gonzales-Torres (D),CA-34,Jimmy Gomez/Angela Gonzales-Torres,Not Contested,D+100.0,-100,Safe D,100,N,0
Norma Torres (D) vs Mike Cargile (R),CA-35,Norma Torres,Mike Cargile,D+21.0,-21,Safe D,100,N,0
Ted Lieu (D) vs Houston Brignano (R),CA-36,Ted Lieu,Houston Brignano,D+49.5,-49.5,Safe D,100,N,0
Sydney Kamlager-Dove (D) vs Samantha Mota (D),CA-37,Sydney Kamlager-Dove/Samantha Mota,Not Contested,D+100.0,-100,Safe D,100,N,0
Hilda Solis (D) vs Pedro Antonio Casas (R),CA-38,Hilda Solis,Pedro Antonio Casas,D+24.5,-24.5,Safe D,100,Y,0
Mark Takano (D) vs Steve Manos (R),CA-39,Mark Takano,Steve Manos,D+22.8,-22.8,Safe D,100,N,0
Young Kim (R) vs Ken Calvert (R),CA-40,Not Contested,Young Kim/Ken Calvert,R+100.0,100,Safe R,0,N,100
