District,Current Party,R Candidate,D Candidate,Flip Prob,Rating
HD 118,R,Jorge Borrego,Kristian Carranza,77.2,Likely flip
HD 96,R,Ellen Fleischmann,Ebony Turner,69.6,Lean flip
HD 126,R,Kelly Peterson / Stan Stanart (runoff),Stefanie Bord,59.6,Lean flip
HD 94,R,Cheryl Bean,Katie Duzan,59.5,Lean flip
HD 93,R,Alan Blaylock,Ericka Lomick,44.1,Competitive
HD 129,R,Scott Bowen,Albert Witliff,42.0,Competitive
HD 54,R,Brad Buckley★,Dawn Richardson,37.2,Likely holds
HD 121,R,Marc LaHood★,Zach Dunn,34.0,Likely holds
HD 55,R,Hillary Hickland★,Caleb Milne,33.7,Likely holds
HD 127,R,Charles Cunningham★,Michelle Williams,32.0,Likely holds
HD 112,R,Angie Chen Button★,Zach Herbert,31.9,Likely holds
HD 37,R,Janie Lopez★,Esmeralda Cantu-Castle / Oziel Ochoa Jr. (runoff),29.5,Likely holds
HD 138,R,Lacey Hull★,Tyler Smith,27.8,Likely holds
HD 26,R,Matt Morgan★,Elizabeth Markowitz,25.5,Likely holds
HD 150,R,Valoree Swanson★,A'Yonna Kellum,23.5,Likely holds
HD 28,R,Gary Gates★,Sandy Ibanez,22.4,Likely holds
HD 15,R,Brad Bailey,Moniqua Scott,21.6,Likely holds
HD 33,R,Katrina Pierson★,Orlando Lopez,21.1,Likely holds
HD 97,R,John McQueeney★,Beth Llewellyn McLaughlin / Diane Symons (runoff),21.0,Likely holds
HD 52,R,Caroline Harris Davila★,Chris Jimenez,20.5,Likely holds
HD 128,R,Tom Butler,Desiree Klaus,20.5,Likely holds
