District,Status,D candidate,R candidate,Harris 2024 %,D win prob %
HD 96,Open seat,Ebony Turner,Ellen Fleischmann,44.6,71.4
HD 94,Open seat,Katie Duzan,Cheryl Bean,45.1,61.7
HD 126,Open seat,Stefanie Bord,Kelly Peterson / Stan Stanart (runoff),40.8,60.7
HD 93,Open seat,Ericka Lomick,Alan Blaylock,40.2,47.2
HD 129,Open seat,Albert Witliff,Scott Bowen,41.0,45.9
HD 54,R incumbent,Dawn Richardson,Brad Buckley★,41.5,38.8
SD 11,Open seat,Shannon Dicely,Dennis Paul,39.7,38.6
HD 121,R incumbent,Zach Dunn,Marc LaHood★,47.5,37.5
HD 55,R incumbent,Caleb Milne,Hillary Hickland★,42.1,35.9
HD 37,R incumbent,Esmeralda Cantu-Castle / Oziel Ochoa Jr. (runoff),Janie Lopez★,44.2,34.9
HD 112,R incumbent,Zach Herbert,Angie Chen Button★,48.3,34.6
HD 127,R incumbent,Michelle Williams,Charles Cunningham★,42.4,34.4
HD 138,R incumbent,Tyler Smith,Lacey Hull★,45.6,30.9
SD 22,Open seat,Amy Martinez-Salas,David Cook,36.0,27.6
HD 26,R incumbent,Elizabeth Markowitz,Matt Morgan★,42.1,27.0
HD 150,R incumbent,A'Yonna Kellum,Valoree Swanson★,41.7,25.9
